GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
support-ticket-api,com.example.supportapi.service,TicketService,12,114,3,16,3,22,5,13,2,6
support-ticket-api,com.example.supportapi.controller,TicketController,0,54,0,0,0,16,0,5,0,5
support-ticket-api,com.example.supportapi.controller,TicketApiExceptionHandler,7,39,0,0,3,16,1,5,1,5
support-ticket-api,com.example.supportapi.repository,InMemoryTicketRepository,12,60,0,2,4,11,1,5,1,4
