GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bank-api,com.example.bankapi.service,AccountService,0,156,1,7,0,30,1,14,0,11
bank-api,com.example.bankapi.controller,BankApiExceptionHandler,7,39,0,0,3,16,1,5,1,5
bank-api,com.example.bankapi.controller,AccountController,0,73,0,0,0,18,0,7,0,7
bank-api,com.example.bankapi.repository,InMemoryAccountRepository,12,28,0,0,4,7,1,4,1,4
